(49, 16245)
(49, 11215)
(49, 8421)
(1511, 15550)
(1511, 12169)
(2661, 10600)
(2662, 10601)
(2662, 1056)
(4989, 2390)
(4990, 14339)
(4990, 2389)
(4991, 14338)
(4991, 2388)
(4992, 14337)
(4992, 2387)
(5217, 1231)
(5218, 1232)
(5219, 1233)
(5220, 1234)
(5221, 1235)
(5500, 4296)
(5500, 21052)
(5501, 21053)
(5502, 21054)
(7301, 9374)
(7301, 16788)
(7301, 9589)
(8257, 18626)
(8258, 18627)
(8258, 18792)
(11199, 14386)
(11199, 16286)
(11199, 17671)
(11200, 16287)
(11201, 16288)
(11202, 16289)
(11203, 16290)
(16662, 17811)
(16662, 8035)
(16662, 5085)
(16663, 8034)
(16664, 8033)
(17259, 17811)
(17259, 8035)
(17259, 5085)
(17260, 5084)
(18476, 6878)
(18594, 9916)
(18594, 13824)
(18594, 13392)
(18595, 13823)
(18595, 13391)
(18596, 13822)
(25304, 13553)
(25304, 16407)
(25304, 16976)
(28773, 12035)
(28773, 18974)
(28773, 8909)
(28774, 8908)
(31572, 10340)
(31573, 10341)
(31573, 3725)
(31573, 2548)
(31574, 2547)
(31919, 20632)
(31919, 14899)
(31919, 630)
(34367, 8938)
(34367, 4786)
(34465, 6624)
(34465, 14046)
(34465, 10163)
(35804, 18353)
(35805, 6939)
(35805, 17268)
(35805, 18354)
(35806, 6940)
(42129, 9822)
(42129, 17903)
(42130, 9823)
(42130, 17904)
(42944, 18975)
(42945, 12035)
(42945, 18974)
(42945, 8909)
(42946, 12036)
(42946, 18973)
(42982, 13637)
(42983, 18268)
(42983, 13636)
(42984, 20527)
(42984, 18267)
(42984, 13635)
(47971, 19447)
(47971, 15615)
(47972, 15614)
(47973, 15613)
(53466, 17670)
(53467, 14386)
(53467, 16286)
(53467, 17671)
(53468, 14387)
(53738, 7507)
(53738, 18137)
(53738, 6601)
(53739, 7508)
(53739, 6600)
(53740, 6599)
(53741, 6598)
(56382, 19445)
(56382, 15617)
(56383, 19446)
(56383, 15616)
(56384, 19447)
(56384, 15615)
(59629, 4025)
(59629, 4250)
(59630, 4026)
(59828, 2696)
(59828, 7747)
(59828, 15594)
(59829, 2697)
(67033, 4196)
(67034, 4197)
(67147, 6621)
(67148, 6622)
(67149, 6623)
(67150, 6624)
(67150, 14046)
(67150, 10163)
(67151, 6625)
(68864, 18479)
(68864, 11930)
(68865, 11929)
(72952, 10341)
(72952, 3725)
(72952, 2548)
(75130, 15550)
(75130, 12169)
(75131, 15549)
(75132, 15548)
(81045, 2918)
(81045, 10020)
(81045, 4610)
(84147, 16245)
(84147, 11215)
(84147, 8421)
(84148, 11214)
(85614, 9373)
(85614, 9590)
(85615, 9374)
(85615, 16788)
(85615, 9589)
(88534, 6515)
(88729, 7507)
